Video: video_talkshow_low.mp4, Time: 97.00 s, BBox: (144, 58), (236, 163)
Video: video_talkshow_low.mp4, Time: 98.00 s, BBox: (152, 56), (240, 162)
Video: video_talkshow_low.mp4, Time: 99.00 s, BBox: (154, 54), (241, 160)
Video: video_talkshow_low.mp4, Time: 100.00 s, BBox: (153, 54), (238, 158)
Video: video_talkshow_low.mp4, Time: 101.00 s, BBox: (168, 53), (263, 156)
Video: video_talkshow_low.mp4, Time: 102.00 s, BBox: (168, 52), (262, 156)
Video: video_talkshow_low.mp4, Time: 103.00 s, BBox: (166, 52), (254, 157)
Video: video_talkshow_low.mp4, Time: 104.00 s, BBox: (161, 61), (245, 166)
Video: video_talkshow_low.mp4, Time: 105.00 s, BBox: (150, 49), (231, 154)
Video: video_talkshow_low.mp4, Time: 106.00 s, BBox: (162, 51), (242, 159)
Video: video_talkshow_low.mp4, Time: 107.00 s, BBox: (155, 47), (246, 153)
Video: video_talkshow_low.mp4, Time: 108.00 s, BBox: (156, 48), (250, 150)
Video: video_talkshow_low.mp4, Time: 109.00 s, BBox: (154, 49), (247, 153)
Video: video_talkshow_low.mp4, Time: 5.00 s, BBox: (343, 43), (368, 71)
Video: video_talkshow_low.mp4, Time: 5.00 s, BBox: (251, 38), (273, 68)
Video: video_talkshow_low.mp4, Time: 5.00 s, BBox: (66, 44), (90, 78)
Video: video_talkshow_low.mp4, Time: 6.00 s, BBox: (348, 42), (373, 70)
Video: video_talkshow_low.mp4, Time: 6.00 s, BBox: (252, 40), (273, 69)
Video: video_talkshow_low.mp4, Time: 6.00 s, BBox: (68, 44), (92, 77)
Video: video_talkshow_low.mp4, Time: 7.00 s, BBox: (414, 32), (425, 53)
Video: video_talkshow_low.mp4, Time: 7.00 s, BBox: (45, 48), (60, 71)
Video: video_talkshow_low.mp4, Time: 7.00 s, BBox: (290, 38), (321, 74)
Video: video_talkshow_low.mp4, Time: 7.00 s, BBox: (26, 35), (41, 56)
Video: video_talkshow_low.mp4, Time: 7.00 s, BBox: (350, 116), (378, 152)
Video: video_talkshow_low.mp4, Time: 7.00 s, BBox: (189, 42), (218, 83)
